Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Breshad Perriman,2020,WR,Lions,1,0
Anthony McFarland,2020,RB,Steelers,3,0
Breon Borders,2020,CB,Titans,1,0
Brent Urban,2020,DT,Bears,5,0
Anthony Miller,2020,WR,Bears,2,0
Braxton Berrios,2020,WR,Jets,2,0
Bravvion Roy,2020,DT,Panthers,2,0
Brandon Zylstra,2020,WR,Raiders,1,0
Bryan Bulaga,2020,T,Panthers,1,0
Bryan Edwards,2020,WR,Ravens,1,0
Calvin Ridley,2020,WR,Falcons,8,0
Byron Murphy,2020,CB,Cardinals,1,0
Calvin Anderson,2020,T,Broncos,1,0
Calais Campbell,2020,DT,Ravens,15,0
Calais Campbell,2020,DE,Ravens,1,0
C.J. Prosise,2020,RB,Texans,4,0
C.J. Moore,2020,S,Lions,6,0
C.J. Moore,2020,S,Bears,1,0
C.J. Henderson,2020,CB,Jaguars,3,0
C.J. Ham,2020,RB,Vikings,7,0
Anthony Firkser,2020,TE,Titans,1,0
Byron Jones,2020,CB,Dolphins,9,0
Bryan Mone,2020,DT,Seahawks,3,0
Byron Jones,2020,CB,Bills,1,0
Byron Cowart,2020,DT,Patriots,6,0
Buster Skrine,2020,CB,Jaguars,1,0
Anthony Harris,2020,S,Vikings,1,0
Buddy Howell,2020,RB,Texans,3,0
Budda Baker,2020,S,Cardinals,9,0
Bryce Love,2020,RB,Football Team,1,0
Bryce Hall,2020,CB,Jets,1,0
Bryce Callahan,2020,CB,Broncos,6,0
Demetrius Harris,2020,TE,Bears,2,0
Denico Autry,2020,DT,Vikings,1,0
Jordan Miller,2020,CB,Falcons,1,0
Javon Wims,2020,WR,Jaguars,1,0
Jared Cook,2020,TE,Saints,3,0
Jaquiski Tartt,2020,S,49ers,3,0
Jaquan Johnson,2020,S,Bills,4,0
Janoris Jenkins,2020,CB,Saints,5,0
Jamon Brown,2020,G,Eagles,2,0
Jamison Crowder,2020,WR,Lions,1,0
Jamison Crowder,2020,WR,Jets,10,0
Jamil Douglas,2020,G,Titans,2,0
Jamil Douglas,2020,G,Giants,1,0
Jamie Gillan,2020,P,Browns,2,0
Jamie Collins,2020,LB,Lions,2,0
James White,2020,RB,Patriots,3,0
James Vaughters,2020,LB,Bears,4,0
Allen Robinson,2020,WR,Bears,8,0
James Robinson,2020,RB,Jaguars,5,0
James O'Shaughnessy,2020,TE,Jaguars,12,0
James O'Shaughnessy,2020,TE,Colts,1,0
James Ferentz,2020,C,Patriots,1,0
James Conner,2020,RB,Steelers,3,0
James Carpenter,2020,G,Seahawks,1,0
James Carpenter,2020,G,Falcons,13,0
Jared Goff,2020,QB,Rams,3,0
Jared Norris,2020,LB,Football Team,3,0
Jared Veldheer,2020,T,Packers,1,0
Jason Spriggs,2020,T,Bears,4,0
Javon Kinlaw,2020,DT,49ers,3,0
Javon Hargrave,2020,DT,Eagles,2,0
Javelin Guidry,2020,CB,Jets,2,0
Jason Witten,2020,TE,Ravens,1,0
Jason Witten,2020,TE,Raiders,2,0
Jason Verrett,2020,CB,Cardinals,1,0
Jason Verrett,2020,CB,49ers,4,0
Jason Strowbridge,2020,DE,Dolphins,1,0
Jason Spriggs,2020,T,Jaguars,1,0
Jason Pierre-Paul,2020,LB,Buccaneers,15,0
Jarrad Davis,2020,LB,Lions,3,0
Jason Pierre-Paul,2020,LB,Bengals,1,0
Jason Pierre-Paul,2020,DE,Buccaneers,4,0
Jason Peters,2020,T,Eagles,7,0
Jason Kelce,2020,C,Eagles,5,0
Jason Huntley,2020,RB,Eagles,3,0
Jason Cabinda,2020,LB,Lions,2,0
Jarvis Landry,2020,WR,Browns,17,0
Jarrod Wilson,2020,S,Jaguars,4,0
Jarran Reed,2020,DT,Seahawks,11,0
James Burgess,2020,LB,Packers,1,0
James Bradberry,2020,CB,Giants,1,0
Alshon Jeffery,2020,WR,Eagles,11,0
Ja'Whaun Bentley,2020,LB,Patriots,8,0
Jacob Phillips,2020,LB,Browns,10,0
Jacob Martin,2020,LB,Texans,2,0
Jacob Hollister,2020,TE,Seahawks,2,0
Jacob Eason,2020,QB,Colts,1,0
Jack Driscoll,2020,T,Eagles,6,0
Alvin Kamara,2020,RB,Saints,4,0
Jack Conklin,2020,T,Browns,13,0
Amani Oruwariye,2020,CB,Lions,1,0
Jabrill Peppers,2020,S,Giants,4,0
JC Tretter,2020,C,Falcons,1,0
Jadeveon Clowney,2020,LB,Titans,8,0
JC Tretter,2020,C,Browns,17,0
J.T. Gray,2020,S,Saints,2,0
J.R. Sweezy,2020,G,Cardinals,1,0
J.P. Holtz,2020,TE,Bears,2,0
J.K. Scott,2020,P,Packers,8,0
J.J. Watt,2020,DE,Texans,5,0
J.J. Taylor,2020,RB,Patriots,8,0
J.J. Arcega-Whiteside,2020,WR,Eagles,3,0
J.C. Jackson,2020,CB,Patriots,8,0
Jacob Tuioti-Mariner,2020,DE,Falcons,5,0
Jaeden Graham,2020,TE,Falcons,4,0
Jamarco Jones,2020,T,Seahawks,7,0
Jalen Mills,2020,S,Eagles,1,0
Jamarco Jones,2020,T,Patriots,1,0
Jamal Agnew,2020,WR,Lions,3,0
Jamal Adams,2020,S,Seahawks,15,0
Jamaal Williams,2020,RB,Packers,4,0
Jalyn Holmes,2020,DE,Vikings,2,0
Jalen Thompson,2020,S,Cardinals,8,0
Jalen Richard,2020,RB,Raiders,5,0
Jalen Reeves-Maybin,2020,LB,Lions,1,0
Jalen Reagor,2020,WR,Eagles,3,0
Jalen Guyton,2020,WR,Chargers,1,0
Jahleel Addae,2020,S,Chargers,2,0
Jaleel Johnson,2020,DT,Vikings,2,0
Jakob Johnson,2020,RB,Patriots,2,0
Jakeem Grant,2020,WR,Dolphins,9,0
Jake Rodgers,2020,T,Broncos,2,0
Jake Matthews,2020,T,Falcons,3,0
Jake Fromm,2020,QB,Jets,1,0
Jake Fromm,2020,QB,Bills,18,0
Jake Butt,2020,TE,Broncos,4,0
Alton Robinson,2020,DE,Seahawks,1,0
Javon Wims,2020,WR,Bears,1,0
Jawaan Taylor,2020,T,Jaguars,1,0
Ito Smith,2020,RB,Falcons,2,0
Jay Elliott,2020,LB,Steelers,2,0
Johnathan Joseph,2020,CB,Titans,3,0
Johnathan Joseph,2020,CB,Cardinals,2,0
Johnathan Hankins,2020,DT,Raiders,6,0
John Wolford,2020,QB,Rams,1,0
John Wetzel,2020,T,Falcons,1,0
John Simpson,2020,G,Raiders,4,0
John Simon,2020,DE,Patriots,5,0
John Ross,2020,WR,Bengals,4,0
John Reid,2020,CB,Texans,3,0
John Penisini,2020,DT,Lions,2,0
John Miller,2020,G,Panthers,6,0
John Lovett,2020,TE,Packers,2,0
John Lovett,2020,QB,Packers,1,0
John Jenkins,2020,DT,Bears,4,0
John Hightower,2020,WR,Eagles,2,0
John Franklin-Myers,2020,DE,Jets,8,0
John Cominsky,2020,DT,Falcons,1,0
John Cominsky,2020,DE,Falcons,1,0
John Brown,2020,WR,Bills,11,0
Joey Slye,2020,K,Panthers,1,0
Joey Hunt,2020,C,Colts,1,0
Jomal Wiltz,2020,CB,Dolphins,7,0
Jon Feliciano,2020,G,Bills,5,0
Jonah Jackson,2020,G,Lions,1,0
Jordan Brailford,2020,DE,Vikings,2,0
Antoine Winfield Jr.,2020,S,Buccaneers,6,0
Jordan Love,2020,QB,Packers,1,0
Jordan Jenkins,2020,LB,Jets,8,0
Jordan Hicks,2020,LB,Cardinals,3,0
Jordan Glasgow,2020,LB,Colts,1,0
Jordan Fuller,2020,S,Rams,2,0
Jordan Evans,2020,LB,Bengals,2,0
Jordan Elliott,2020,DT,Browns,4,0
Jordan Dangerfield,2020,S,Steelers,2,0
Alex Okafor,2020,DE,Chiefs,6,0
Jonah Williams,2020,T,Bengals,4,0
Jonnu Smith,2020,TE,Titans,7,0
Jonathan Williams,2020,RB,Lions,1,0
Jonathan Ward,2020,RB,Cardinals,2,0
Jonathan Taylor,2020,RB,Colts,3,0
Jonathan Jones,2020,CB,Patriots,5,0
Jonathan Jones,2020,CB,Dolphins,1,0
Jonathan Greenard,2020,LB,Texans,3,0
Jonathan Allen,2020,DT,Football Team,4,0
Jonathan Allen,2020,DE,Football Team,1,0
A.J. Brown,2020,WR,Titans,16,0
Joel Bitonio,2020,G,Browns,3,0
Joe Thuney,2020,T,Patriots,5,0
Jeff Gladney,2020,CB,Vikings,2,0
Jeremy McNichols,2020,RB,Titans,1,0
Jeremy Chinn,2020,S,Panthers,3,0
Jeremiah Ledbetter,2020,DT,Buccaneers,4,0
Jeremiah Attaochu,2020,LB,Broncos,6,0
Jeffery Simmons,2020,DT,Titans,6,0
Jeff Wilson,2020,RB,49ers,3,0
Jeff Smith,2020,WR,Jets,2,0
Jeff Okudah,2020,CB,Lions,5,0
Jeff Okudah,2020,CB,Bears,1,0
Jeff Badet,2020,WR,Football Team,1,0
Jermaine Eluemunor,2020,T,Patriots,5,0
Jedrick Wills,2020,T,Browns,4,0
Jayson Stanley,2020,CB,Seahawks,4,0
Jayron Kearse,2020,S,Lions,3,0
Jaylon Smith,2020,LB,Cowboys,1,0
Jaylon Johnson,2020,CB,Bears,4,0
Jaylon Ferguson,2020,LB,Ravens,1,0
Allen Lazard,2020,WR,Packers,10,0
Jaylen Samuels,2020,RB,Steelers,3,0
Jaydon Mickens,2020,WR,Buccaneers,1,0
Jerick McKinnon,2020,RB,49ers,1,0
Jerome Baker,2020,LB,Dolphins,2,0
Joe Thomas,2020,LB,Cowboys,3,0
Joe Dahl,2020,G,Lions,5,0
Joe Reed,2020,WR,Chargers,4,0
Joe Noteboom,2020,G,Rams,2,0
Joe Mixon,2020,RB,Bengals,6,0
Joe Looney,2020,C,Cowboys,1,0
Joe Jones,2020,LB,Broncos,4,0
Joe Haeg,2020,T,Buccaneers,1,0
Alex Singleton,2020,LB,Eagles,1,0
Joe Flacco,2020,QB,Lions,1,0
Joe Flacco,2020,QB,Jets,2,0
Joe Cardona,2020,LS,Patriots,2,0
Jerry Hughes,2020,DE,Bills,7,0
Jimmy Smith,2020,CB,Ravens,15,0
Jimmy Graham,2020,TE,Bears,14,0
Jimmy Garoppolo,2020,QB,49ers,5,0
Alex Smith,2020,QB,Football Team,4,0
Jihad Ward,2020,DE,Ravens,1,0
Jessie Lemonier,2020,DE,Chargers,1,0
Jessie Bates,2020,S,Bengals,1,0
Jerry Tillery,2020,DT,Chargers,2,0
Jerry Jeudy,2020,WR,Broncos,8,0
J.C. Hassenauer,2020,C,Steelers,1,0
Isaiah Wynn,2020,T,Patriots,7,0
Andrew Whitworth,2020,T,Rams,9,0
Eric Kendricks,2020,LB,Vikings,6,0
Duke Shelley,2020,CB,Bears,3,0
Duke Riley,2020,LB,Eagles,4,0
Duke Johnson,2020,RB,Texans,8,0
Duke Dawson,2020,CB,Broncos,3,0
Duane Brown,2020,T,Seahawks,16,0
Duane Brown,2020,T,Patriots,1,0
Dru Samia,2020,G,Vikings,3,0
Drew Sample,2020,TE,Bengals,1,0
Drew Lock,2020,QB,Broncos,6,0
Drew Brees,2020,QB,Saints,3,0
Dre Greenlaw,2020,LB,49ers,5,0
Andrew Thomas,2020,T,Giants,1,0
Dorian O'Daniel,2020,LB,Chiefs,3,0
Dorance Armstrong,2020,DE,Cowboys,2,0
Dontrelle Inman,2020,WR,Football Team,6,0
Dontrell Hilliard,2020,RB,Browns,1,0
Donte Moncrief,2020,WR,Patriots,3,0
Donte Jackson,2020,CB,Raiders,1,0
Donte Jackson,2020,CB,Panthers,10,0
Dontae Johnson,2020,CB,49ers,3,0
Donovan Wilson,2020,S,Cowboys,4,0
Andrew Norwell,2020,G,Jaguars,3,0
Dustin Hopkins,2020,K,Football Team,3,0
Dwayne Haskins,2020,QB,Football Team,1,0
Elijah Lee,2020,LB,Browns,1,0
Eric Ebron,2020,TE,Steelers,6,0
Ereck Flowers,2020,G,Dolphins,4,0
Andrew Adams,2020,S,Bengals,1,0
Emmanuel Sanders,2020,WR,Saints,1,0
Emmanuel Ogbah,2020,DE,Dolphins,1,0
Andrew Adams,2020,S,Buccaneers,2,0
Emeke Egbule,2020,LB,Chargers,1,0
Elijhaa Penny,2020,RB,Giants,1,0
Elijah Wilkinson,2020,T,Broncos,2,0
Eli Apple,2020,CB,Panthers,4,0
Dwayne Washington,2020,RB,Saints,3,0
Elgton Jenkins,2020,G,Packers,3,0
Andrew Beck,2020,TE,Broncos,2,0
Efe Obada,2020,DE,Panthers,5,0
Edmond Robinson,2020,LB,Falcons,2,0
Eddie Jackson,2020,S,Bears,6,0
Ed Oliver,2020,DT,Bills,3,0
Easton Stick,2020,QB,Chargers,1,0
E.J. Speed,2020,LB,Colts,1,0
Dylan Cole,2020,LB,Texans,4,0
Donovan Smith,2020,T,Buccaneers,5,0
Andrew Van Ginkel,2020,LB,Dolphins,4,0
Donald Parham,2020,TE,Chargers,2,0
Deon Yelder,2020,TE,Chiefs,2,0
Derrek Tuszka,2020,LB,Broncos,1,0
Derick Roberson,2020,LB,Titans,7,0
Derick Roberson,2020,LB,Giants,1,0
Andrew Whitworth,2020,T,Cowboys,1,0
Derek Watt,2020,RB,Steelers,6,0
Derek Rivers,2020,DE,Patriots,1,0
Derek Carr,2020,QB,Raiders,1,0
Derek Barnett,2020,DE,Eagles,6,0
Deonte Harty,2020,WR,Saints,6,0
Deon Bush,2020,S,Bears,8,0
Derrick Henry,2020,RB,Titans,4,0
Denzelle Good,2020,G,Raiders,7,0
Denzel Ward,2020,CB,Browns,8,0
Denzel Perryman,2020,LB,Chargers,5,0
Denzel Mims,2020,WR,Lions,1,0
Denzel Mims,2020,WR,Jets,2,0
Dennis Kelly,2020,T,Titans,14,0
Dennis Kelly,2020,T,Giants,1,0
Dennis Gardeck,2020,LB,Cardinals,4,0
Dennis Daley,2020,G,Raiders,1,0
Derrick Brown,2020,DT,Panthers,3,0
Derrick Nnadi,2020,DT,Chiefs,16,0
Domata Peko Sr.,2020,DT,Cardinals,4,0
Devontae Booker,2020,RB,Raiders,2,0
Diontae Spencer,2020,WR,Broncos,4,0
Diontae Johnson,2020,WR,Steelers,7,0
Diontae Johnson,2020,WR,Rams,1,0
Dion Lewis,2020,RB,Giants,1,0
Dion Jordan,2020,DE,49ers,2,0
Dion Dawkins,2020,T,Bills,1,0
Dezmon Patmon,2020,WR,Vikings,1,0
Dez Bryant,2020,WR,Ravens,1,0
Dexter Lawrence,2020,DE,Giants,1,0
Devonta Freeman,2020,RB,Giants,3,0
Deshazor Everett,2020,S,Football Team,3,0
Devon Kennard,2020,LB,Cardinals,3,0
Devine Ozigbo,2020,RB,Jaguars,3,0
Devine Ozigbo,2020,RB,Colts,1,0
Devin McCourty,2020,S,Patriots,1,0
Devin Duvernay,2020,WR,Ravens,1,0
Devin Bush,2020,LB,Steelers,1,0
Devante Downs,2020,LB,Giants,1,0
Desmond Trufant,2020,CB,Lions,7,0
Desmond King,2020,CB,Chargers,2,0
Eric Fisher,2020,T,Chiefs,8,0
Eric Rowe,2020,S,Dolphins,1,0
Isaiah Wright,2020,WR,Football Team,3,0
Erik Harris,2020,S,Raiders,3,0
Hayden Hurst,2020,TE,Falcons,4,0
Hassan Ridgeway,2020,DT,Eagles,1,0
Harvey Langi,2020,LB,Jets,1,0
Harrison Smith,2020,S,Vikings,1,0
Harrison Hand,2020,CB,Vikings,1,0
Harold Landry,2020,LB,Titans,1,0
Amari Cooper,2020,WR,49ers,1,0
Halapoulivaati Vaitai,2020,T,Bears,1,0
Haason Reddick,2020,LB,Cardinals,3,0
Gus Edwards,2020,RB,Ravens,1,0
Gunner Olszewski,2020,WR,Dolphins,1,0
Grover Stewart,2020,DT,Colts,2,0
Greg Zuerlein,2020,K,Cowboys,1,0
Greg Van Roten,2020,G,Jets,1,0
Greg Stroman,2020,CB,Football Team,2,0
Greg Olsen,2020,TE,Seahawks,8,0
Greg Mabin,2020,CB,Jaguars,2,0
Greg Little,2020,T,Raiders,1,0
Greg Little,2020,T,Panthers,2,0
Greedy Williams,2020,CB,Falcons,1,0
Greedy Williams,2020,CB,Browns,4,0
Henry Anderson,2020,DE,Jets,1,0
Henry Ruggs III,2020,WR,Raiders,4,0
Hercules Mata'afa,2020,DT,Vikings,2,0
Irv Smith,2020,TE,Vikings,5,0
Isaiah Wilson,2020,T,Titans,2,0
Isaiah Simmons,2020,LB,Cardinals,1,0
Isaiah Rodgers,2020,CB,Colts,4,0
Isaiah McKenzie,2020,WR,Bills,3,0
Isaiah Johnson,2020,CB,Raiders,4,0
Isaiah Buggs,2020,DE,Steelers,4,0
Isaac Yiadom,2020,CB,Giants,1,0
Isaac Seumalo,2020,G,Eagles,1,0
Isaac Rochell,2020,DE,Chargers,1,0
Ifeadi Odenigbo,2020,DE,Vikings,5,0
Hjalte Froholdt,2020,G,Texans,1,0
Ian Thomas,2020,TE,Raiders,1,0
Ian Thomas,2020,TE,Panthers,3,0
Hunter Renfrow,2020,WR,Raiders,3,0
Hunter Henry,2020,TE,Chargers,3,0
Hunter Bryant,2020,TE,Lions,5,0
Hunter Bryant,2020,TE,Bears,1,0
Hunter Bradley,2020,LS,Packers,3,0
Hroniss Grasu,2020,C,49ers,4,0
Holton Hill,2020,CB,Vikings,4,0
Grayland Arnold,2020,S,Eagles,3,0
Graham Glasgow,2020,G,Titans,1,0
Graham Glasgow,2020,G,Broncos,7,0
Foster Moreau,2020,TE,Ravens,1,0
Fred Warner,2020,LB,49ers,1,0
Fred Johnson,2020,T,Bengals,2,0
Frankie Luvu,2020,LB,Jets,2,0
Frank Ragnow,2020,C,Lions,5,0
Frank Gore,2020,RB,Lions,1,0
Amik Robertson,2020,CB,Raiders,1,0
Frank Clark,2020,DE,Chiefs,4,0
Foye Oluokun,2020,LS,Falcons,1,0
Foye Oluokun,2020,LB,Falcons,6,0
Forrest Lamp,2020,G,Chargers,1,0
Gabe Davis,2020,WR,Bills,1,0
Fletcher Cox,2020,DT,Eagles,12,0
Ezra Cleveland,2020,G,Vikings,4,0
Ezekiel Elliott,2020,RB,Cowboys,6,0
Ezekiel Ansah,2020,DE,49ers,1,0
Everson Griffen,2020,DE,Lions,2,0
Everson Griffen,2020,DE,Cowboys,1,0
Evan Engram,2020,TE,Giants,3,0
Andre Roberts,2020,WR,Bills,3,0
Erik McCoy,2020,C,Saints,1,0
Freddie Swain,2020,WR,Seahawks,9,0
Gabe Jackson,2020,G,Raiders,8,0
Grady Jarrett,2020,DT,Falcons,6,0
George Kittle,2020,TE,49ers,4,0
Golden Tate,2020,WR,Steelers,1,0
Golden Tate,2020,WR,Giants,5,0
Amari Cooper,2020,WR,Cowboys,1,0
Geron Christian,2020,T,Football Team,4,0
Germaine Pratt,2020,LB,Bengals,1,0
Germain Ifedi,2020,T,Jaguars,1,0
Germain Ifedi,2020,G,Bears,1,0
Gerald Everett,2020,TE,Rams,2,0
George Odum,2020,S,Colts,2,0
Ameer Abdullah,2020,S,Buccaneers,1,0
Gabe Nabers,2020,RB,Chargers,2,0
Geoff Swaim,2020,TE,Titans,3,0
Geno Smith,2020,QB,Seahawks,1,0
Geno Smith,2020,QB,Patriots,1,0
Geno Atkins,2020,DT,Chargers,1,0
Geno Atkins,2020,DT,Bengals,12,0
Genard Avery,2020,DE,Eagles,1,0
Garrett Bradbury,2020,C,Vikings,5,0
Garett Bolles,2020,T,Broncos,5,0
Gardner Minshew,2020,QB,Jaguars,4,0
Zeke Turner,2020,LB,Cardinals,1,0
Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Asante Samuel Jr.,2021,CB,Chargers,7,5
Shaun Wade,2021,CB,Patriots,4,4
Anthony Schwartz,2021,WR,Browns,6,4
D'Wayne Eskridge,2021,WR,Seahawks,6,4
Teddy Bridgewater,2021,QB,Broncos,7,3
Kenny Young,2021,LB,Broncos,3,3
Benjamin St-Juste,2021,CB,Football Team,5,3
Jonathan Ward,2021,RB,Cardinals,5,3
Taylor Rapp,2021,S,Rams,6,3
Andrew Sendejo,2021,S,Colts,5,3
Nate Davis,2021,G,Titans,5,3
Kingsley Keke,2021,DE,Packers,3,3
Jeff Smith,2021,WR,Jets,3,2
Elijah Mitchell,2021,RB,49ers,15,2
Xavier Crawford,2021,CB,Bears,6,2
Jeremy McNichols,2021,RB,Titans,7,2
Terrace Marshall Jr.,2021,WR,Panthers,4,2
Terrance Mitchell,2021,CB,Texans,5,2
Taysom Hill,2021,QB,Saints,9,2
Geoff Swaim,2021,TE,Titans,2,2
J.D. McKissic,2021,RB,Football Team,5,2
Jaelon Darden,2021,WR,Buccaneers,3,2
Kevin Strong,2021,DE,Lions,2,2
Shaquill Griffin,2021,CB,Jaguars,3,2
Hardy Nickerson,2021,LB,Texans,2,2
Antoine Winfield Jr.,2021,S,Buccaneers,6,2
Nelson Agholor,2021,WR,Patriots,4,2
Greg Newsome II,2021,CB,Browns,9,2
Taylor Lewan,2021,T,Titans,10,1
Brandin Echols,2021,CB,Jets,1,1
Khalid Kareem,2021,DE,Bengals,3,1
J.P. Holtz,2021,TE,Bears,8,1
Jon Feliciano,2021,G,Bills,4,1
Kevin King,2021,CB,Packers,9,1
Jakeem Grant,2021,WR,Bears,6,1
Tracy Walker III,2021,S,Lions,2,1
Baron Browning,2021,LB,Broncos,8,1
Azeez Al-Shaair,2021,LB,49ers,7,1
Jamel Dean,2021,CB,Buccaneers,10,1
Trenton Cannon,2021,RB,49ers,1,1
Kamal Martin,2021,LB,Panthers,1,1
Jamin Davis,2021,LB,Football Team,2,1
Tevin Coleman,2021,RB,Jets,7,1
Gunner Olszewski,2021,WR,Patriots,3,1
T.Y. Hilton,2021,WR,Colts,5,1
Krys Barnes,2021,LB,Packers,2,1
Nick Kwiatkoski,2021,LB,Raiders,8,1
Darnell Savage,2021,S,Packers,4,1
DeShon Elliott,2021,S,Ravens,4,1
Mitch Wishnowsky,2021,P,49ers,2,1
Pat Freiermuth,2021,TE,Steelers,3,1
Dee Delaney,2021,CB,Buccaneers,3,1
Dee Ford,2021,DE,49ers,4,1
Damien Harris,2021,RB,Patriots,9,1
Dallin Leavitt,2021,S,Raiders,5,1
Michael Carter II,2021,CB,Jets,2,1
Donald Parham,2021,TE,Chargers,2,1
Rashad Fenton,2021,CB,Chiefs,7,1
Rhamondre Stevenson,2021,RB,Patriots,3,1
Chukwuma Okorafor,2021,T,Steelers,2,1
Elijah Moore,2021,WR,Jets,3,1
Elijah Riley,2021,S,Jets,2,1
Equanimeous St. Brown,2021,WR,Packers,5,1
Marcus Epps,2021,S,Eagles,2,1
Marcell Harris,2021,LB,49ers,8,1
Everson Griffen,2021,DE,Vikings,5,1
Lucas Patrick,2021,G,Packers,1,1
CeeDee Lamb,2021,WR,Cowboys,5,1
Carlos Hyde,2021,RB,Jaguars,4,1
Sam Darnold,2021,QB,Panthers,2,1
Giovanni Ricci,2021,FB,Panthers,2,1
Shaka Toney,2021,DE,Football Team,3,1
Calais Campbell,2021,DE,Ravens,13,1
Justin McCray,2021,C,Texans,4,1
Halapoulivaati Vaitai,2021,G,Lions,3,1
Justin Reid,2021,S,Texans,4,1
Nick Bosa,2021,DE,49ers,9,1
Xavier Rhodes,2021,CB,Colts,8,1
A.J. Green,2021,CB,Browns,6,1
Ambry Thomas,2021,CB,49ers,3,1
Alex Erickson,2021,WR,Panthers,1,1
Jordan Glasgow,2021,LB,Colts,1,1
A.J. Terrell,2021,CB,Falcons,3,1
Jonathan Bullard,2021,DE,Falcons,5,1
Jonathan Bullard,2021,DT,Falcons,1,1
Tyrell Williams,2021,WR,Lions,2,1
Tyrann Mathieu,2021,S,Chiefs,7,1
Zack Moss,2021,RB,Bills,1,1
Josh Sweat,2021,DE,Eagles,4,1
Josiah Deguara,2021,TE,Packers,5,1
Adrian Colbert,2021,S,Jets,2,1
Markus Golden,2021,LB,Cardinals,1,0
Marlon Davidson,2021,DT,Falcons,2,0
Marquis Haynes,2021,DE,Panthers,2,0
Markus Bailey,2021,LB,Bengals,5,0
Mark Webb,2021,S,Chargers,3,0
Jordan Hicks,2021,LB,Cardinals,4,0
Mark Ingram,2021,RB,Texans,2,0
Jordan Howard,2021,RB,Eagles,6,0
Marlon Humphrey,2021,CB,Ravens,3,0
Jordan Jenkins,2021,DE,Texans,3,0
Mark Ingram,2021,RB,Saints,3,0
Marquel Lee,2021,LB,Raiders,3,0
Marquez Valdes-Scantling,2021,WR,Packers,5,0
Marquise Goodwin,2021,WR,Bears,8,0
Marquise Blair,2021,S,Seahawks,7,0
Matt Milano,2021,LB,Bills,5,0
Matthew Slater,2021,WR,Patriots,1,0
Matthew Judon,2021,LB,Patriots,2,0
Matthew Ioannidis,2021,DT,Football Team,3,0
Matt Skura,2021,C,Giants,2,0
Matt Paradis,2021,C,Panthers,4,0
Matt Overton,2021,LS,Chargers,1,0
Matt Nelson,2021,T,Lions,4,0
Matt Gay,2021,K,Rams,1,0
Marquise Brown,2021,WR,Ravens,7,0
Matt Feiler,2021,G,Chargers,4,0
Matt Barkley,2021,QB,Panthers,1,0
Mason Cole,2021,C,Vikings,1,0
Marvin Jones,2021,WR,Jaguars,4,0
Jordan Fuller,2021,S,Rams,1,0
Marshon Lattimore,2021,CB,Saints,8,0
Mark Gilbert,2021,CB,Lions,1,0
Mark Glowinski,2021,G,Colts,2,0
Justin Herron,2021,T,Patriots,1,0
Mario Edwards,2021,DT,Bears,3,0
Mac Jones,2021,QB,Patriots,1,0
Malcolm Smith,2021,LB,Browns,5,0
Malcolm Roach,2021,DT,Saints,2,0
Malcolm Perry,2021,WR,Patriots,1,0
Malcolm Jenkins,2021,S,Saints,1,0
Malcolm Brown,2021,RB,Dolphins,1,0
Mackensie Alexander,2021,CB,Vikings,4,0
Mack Wilson,2021,LB,Browns,4,0
Jordan Phillips,2021,DE,Cardinals,6,0
Maliek Collins,2021,DT,Texans,2,0
Jordan Poyer,2021,S,Bills,4,0
Lucas Niang,2021,T,Chiefs,7,0
Lorenzo Carter,2021,LB,Giants,4,0
Lonnie Johnson,2021,CB,Texans,4,0
Logan Woodside,2021,QB,Titans,1,0
Logan Wilson,2021,LB,Bengals,4,0
Logan Thomas,2021,TE,Football Team,1,0
Malcom Brown,2021,DT,Jaguars,5,0
Malik Harrison,2021,LB,Ravens,1,0
Mario Addison,2021,DE,Bills,10,0
Marcus Cannon,2021,T,Texans,1,0
Jordan Elliott,2021,DT,Browns,2,0
Marcus Williams,2021,S,Saints,2,0
Marcus Peters,2021,CB,Ravens,1,0
Marcus Maye,2021,S,Jets,3,0
Marcus Mariota,2021,QB,Raiders,1,0
Jordan Kunaszyk,2021,LB,Football Team,2,0
Marcus Davenport,2021,DE,Saints,7,0
Marcus Allen,2021,LB,Steelers,1,0
Malik Jackson,2021,DT,Browns,12,0
Marco Wilson,2021,CB,Cardinals,5,0
Jordan Mailata,2021,T,Eagles,6,0
Marcedes Lewis,2021,TE,Packers,12,0
Malik Turner,2021,WR,Cowboys,2,0
Malik Taylor,2021,WR,Packers,6,0
Malik Reed,2021,LB,Broncos,6,0
Malik McDowell,2021,DT,Browns,4,0
Matthew Stafford,2021,QB,Rams,2,0
Maxx Crosby,2021,DE,Raiders,2,0
Matthew Wright,2021,K,Jaguars,1,0
Mitchell Wilcox,2021,TE,Bengals,3,0
Morgan Moses,2021,T,Jets,1,0
Morgan Fox,2021,DE,Panthers,1,0
Jonas Griffith,2021,LB,Broncos,1,0
Monty Rice,2021,LB,Titans,4,0
Montravius Adams,2021,DE,Steelers,1,0
Montez Sweat,2021,DE,Football Team,2,0
Mohamed Sanu,2021,WR,49ers,1,0
Jonathan Allen,2021,DT,Football Team,4,0
Jonnu Smith,2021,TE,Patriots,6,0
Minkah Fitzpatrick,2021,S,Steelers,1,0
Miles Sanders,2021,RB,Eagles,8,0
Miles Boykin,2021,WR,Ravens,5,0
